"","STATION","ELEVATION","LAT","LON","TF_START","TF_END","1","2","3","4","5","6","7","8","9","10","11","12"
"309","58367099999","3.04","31.197875","121.336319","1990-01-01","2019-12-31",13,16,21,27,30,33,37,36,32,27,23,16
"311","58606099999","43.58","28.865","115.9","1990-01-01","2019-12-31",15.11,19.39,23.11,28.72,31.89,34.11,37,36.39,34.28,29.11,24.22,16.89
"313","59134099999","17.98","24.544036","118.127739","1990-01-01","2019-12-31",22.28,24,26.22,30,32,34,36,35,34,31.72,28,24
"315","60033099999","63.09","27.151667","-13.219167","1990-01-01","2019-12-31",27,28,31,29,29,31,33,35,33,34,31,27
"317","60141099999","579.12","33.927261","-4.977958","1990-01-01","2019-12-31",20.22,22,25.39,28.39,33.78,38,41,41,36,32,26,21.22
"319","60156099999","199.94","33.367467","-7.589967","1990-01-01","2019-12-31",21.39,23.28,27,27.61,32,33.61,35.72,36,33,31.78,27,23
"321","60230099999","467.86","31.606886","-8.0363","1990-01-01","2019-12-31",23.39,26,29.72,32.39,36.39,40,43.39,42.78,38,34.39,29,24.11
"323","60390099999","24.99","36.691014","3.215408","1990-01-01","2019-12-31",21,22,24.5,26.22,29.28,33.28,35.5,36.5,33.5,31.11,25.39,22
"325","60490099999","89.91","35.623858","-0.621183","1990-01-01","2019-12-31",20.28,21.61,24.22,26.28,29,32.5,35.5,36.61,33,30,25.11,21.22
"327","60680599999","1412","22.8","5.45","1990-01-01","2019-12-31",24,26,30,34.11,36.39,38,38,37,36,33,28,25
"329","60715099999","6.7","36.851033","10.227217","1990-01-01","2019-12-31",19.5,21,24.11,27,31.5,36,38.22,38.61,35.11,31.28,25.78,21
"331","61052099999","223.11","13.481547","2.183614","1990-01-01","2019-12-31",36.39,39.78,42.22,43.61,43.5,41.22,38,36,38,40,39.39,37
"333","61291099999","380.08","12.533544","-7.949944","1990-01-01","2019-12-31",36,39,40.5,41.5,41,38.11,34.11,33,34.5,37,37,36
"335","61415099999","4.87","20.933067","-17.029956","1990-01-01","2019-12-31",28.61,30.5,32.39,31.5,31,33,32,33,36.28,36,32.78,29.5
"337","61641099999","25.9","14.739708","-17.490225","1990-01-01","2019-12-31",31,31,30,28,29,31,31.61,31.72,32.22,33,34,32
"339","61832099999","21.94","9.576889","-13.611961","1990-01-01","2019-12-31",33,33.5,34,33.5,33.28,31.72,30.39,30,31,31.72,32.5,33
"341","61902099999","84.73","-7.969597","-14.393664","1990-01-01","2019-12-31",29.78,30.72,31.39,31.11,30.39,29.28,28.39,28,27.61,28,28.22,29
"343","62053099999","131.97","32.096786","20.269472","1990-01-01","2019-12-31",19,21,26,32,36,37.5,35,35.11,36,33,27,21
"345","62366099999","116.43","30.121944","31.405556","1990-01-01","2019-12-31",22,25.61,30,34.61,37.39,38.39,37.61,37.28,36.39,33.78,29,23.61
"347","62414099999","201.77","23.964356","32.819975","1990-01-01","2019-12-31",29,32.39,36.5,41,44,45,44.39,44.28,43,40.61,34.61,29.78
"349","62721099999","385.57","15.589497","32.553161","1990-01-01","2019-12-31",36,38.72,41.5,43.78,44.78,44,42,40.5,41.72,41.5,39,36
"353","63450099999","2325.62","8.977889","38.799319","1990-01-01","2019-12-31",25.39,26.72,27.5,27.5,27.5,26,23,22.5,23.5,24.5,24.22,24.22
"357","63705099999","1152.75","0.042386","32.443503","1990-01-01","2019-12-31",29.39,29.78,29.39,28,27.72,27.78,28,28,29,28.22,28,28.5
"359","63740099999","1623.66","-1.319239","36.927775","1990-01-01","2019-12-31",29,30.39,30.28,28.28,26.78,26,26.39,27,28.78,29,27.39,27.78
"361","63820099999","60.96","-4.034833","39.59425","1990-01-01","2019-12-31",33.78,34,34,33,31.72,30,29.22,29.22,30,31,32,33.22
"363","63870099999","16.45","-6.222025","39.224886","1990-01-01","2019-12-31",34.11,34.78,35,32.61,31.28,30.61,30.22,30.78,31.61,32.5,32.5,33.39
"365","64210099999","313.02","-4.38575","15.444569","1990-01-01","2019-12-31",33,34,35,34.61,33.5,31,30,31.78,33.28,33.5,33,33
"369","64500099999","11.88","0.4586","9.412283","1990-01-01","2019-12-31",31,32,32,32,31.39,30,29,29,29.61,30,30.5,31
"371","64650099999","368.19","4.398475","18.518786","1990-01-01","2019-12-31",36,37.5,37.28,36.11,35.5,34,33,33,34,34,34.28,35
